Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-01-02,1PIb3OgjQH,G1mxtZtEs5,VFp4Pj4vpP,Back Squat,8,106.59433371737533,fake_id_336
2021-01-21,lOQ5JEGtNH,s5tzCNPRXw,Nco9DeiTLD,Lunge Jump,11,0.0,fake_id_351
2021-08-31,8d73YWWQVi,nNMm3ywt6H,Q7NNLrqYBi,Pike Push Up,6,0.0,fake_id_352
2021-08-24,VSfnL32b0H,wNarovWdLy,KylBNzH2Mo,Cable Crunch,12,22.67964547178199,fake_id_357
2021-06-23,fDOI19MOdi,olwH9a4pKv,f2zAaszhkg,Knee Raise,12,0.0,fake_id_337
2021-05-02,DkqU7Kvy2v,WoEeZr6Uwx,ejLN2BQ7SH,Single Arm Lat Pulldown,12,18.14371637742559,fake_id_373
2021-10-26,bVMPHhQpGY,UThEK7cf4f,aAQPcARetB,Machine Fly,8,49.895220037920375,fake_id_376
2021-03-30,acy5VyVAfQ,r4bOO0fDTv,zxBuk6H1KW,Plank,0,0.0,fake_id_344
2021-10-28,6QvhFfJCOc,djuvlRHUvb,qOCfxewWA1,Dumbbell Rear Delt Raise,11,11.339822735890994,fake_id_379
2021-05-30,oTACDKsriU,k3yxx2a6oz,smy2T4pHVX,Seated Machine Calf Press,8,52.16318458509857,fake_id_394
2021-04-20,o0GJYkAPt4,qfkBJ4A5eQ,Dy1Ir19V9q,Dead Bug,8,0.0,fake_id_330
2021-09-07,R4okLboLo1,djuvlRHUvb,snY293LHSR,Dumbbell Rear Delt Raise,7,3.4019468207672983,fake_id_354
2021-04-23,HcHYZHl3Ka,3GvUTFN8up,RABygCSpOm,Calf Raise,10,40.0,fake_id_337
2021-01-13,pWljMOLDok,dFycDkJyHe,yls26yeW16,Dumbbell Shoulder Raise,11,6.8038936415345965,fake_id_334
2021-04-05,xhqtaNgE8j,djuvlRHUvb,Rj0iMPPA1E,Dumbbell Rear Delt Raise,12,7.937875915123695,fake_id_356
2021-07-08,yTujbPFbON,y2Gg0PEzd8,9kXHc1NmFt,Preacher Curl,18,15.0,fake_id_351
2021-09-20,tIzYxW6GaW,erjFOF21dc,jdJgdPL2Na,Reverse Barbell Curl,12,13.607787283069193,fake_id_374
2021-10-07,tdb0lGtbOF,N6zu9IJNBz,ikTiZFK2sJ,Leg Raise,9,0.0,fake_id_341
2021-11-02,v4XoKD5TOX,ewEcdHovom,xQ1nwjO88N,Hanging Leg Raise,10,0.0,fake_id_397
